"KR","Kath.Religionslehre","Kath. Religionslehre","RS_"
"EvR","Evang.Religionslehre","Evang. Religionslehre","RS_"
"Eth","Ethik","Ethik","RS_"
"D","Deutsch","Deutsch","RS_"
"E","Englisch","Englisch","RS_"
"F","Französisch","Französisch","RS_"
"M","Mathematik","Mathematik","RS_"
"Ph","Physik","Physik","RS_"
"Ch","Chemie","Chemie","RS_"
"B","Biologie","Biologie","RS_"
"Erz","Erziehungskunde","Erziehungskunde","RS_"
"G","Geschichte","Geschichte","RS_"
"Ek","Erdkunde","Erdkunde","RS_"
"WR","Wirtschaft und Recht","Wirtschaft und Recht","RS_"
"Sk","Sozialkunde","Sozialkunde","RS_"
"BwR","Betriebswirtschaftslehre/Rechnungsw","Betriebswirtschaftslehre/Rechnungswesen","RS_"
"Sow","Sozialwesen","Sozialwesen","RS_"
"Sm","Sport männlich","Sport männlich (Basissport)","RS_"
"Sw","Sport weiblich","Sport weiblich (Basissport)","RS_"
"Mu","Musik","Musik","RS_"
"Ku","Kunsterziehung","Kunsterziehung","RS_"
"W","Werken","Werken","RS_"
"TZ","Technisches Zeichnen","Technisches Zeichnen","RS_"
"HE","Haushalt und Ernährung","Haushalt und Ernährung","RS_"
"Inf","Informatik","Informatik","RS_"
"TvM","Textverarbeitung","Textverarbeitung (incl. Ms)","RS_"
"TvK","Textverarbeitung mit Kurzschrift","Textverarbeitung mit Kurzschrift (incl. Ks)","RS_"
"IT","Informationstechnologie","Informationstechnologie","RS_"
"GzB","Betr. Arbeitsstunden(Ganztagsangebo","Betreute Arbeitsstunden (Ganztagesangebot)","RS_"
"TZw","Technisches Zeichnen (CAD)","Technisches Zeichnen (CAD)","RS_"
"TG","Textiles Gestalten (Textilarbeit)","Textiles Gestalten (Textilarbeit)","RS_"
"Smd","Sport männlich (Diffsport)","Sport männlich (Diffsport/EBSU)","RS_"
"Swd","Sport weiblich (Diffsport)","Sport weiblich (Diffsport/EBSU)","RS_"
"SpF","Sportförderunterricht","Sportförderunterricht","RS_"
"Cho","Chorgesang","Chor","RS_"
"Orc","Orchester","Orchester","RS_"
"Chw","Chorgesang (wiss)","Chor (wiss)","RS_"
"Orw","Orchester (wiss)","Orchester (wiss)","RS_"
"Ins","Instrumentalmusik","Instrumentalunterricht","RS_"
"SSp","Schulspiel","Schulspiel","RS_"
"Fot","Schulfotografie","Schulfotografie","RS_"
"Rus","Russisch","Russisch","RS_"
"Ts","Tschechisch","Tschechisch","RS_"
"Spa","Spanisch","Spanisch","RS_"
"It","Italienisch","Italienisch","RS_"
"Ser","Serbisch","Serbisch","RS_"
"Kro","Kroatisch","Kroatisch","RS_"
"MSp","Muttersprache für Ausländer","Muttersprache für Ausländer","RS_"
"EKo","Englisch Konversation","Englisch Konversation","RS_"
"FKo","Französisch Konversation","Französisch Konversation","RS_"
"PoZ","Politik und Zeitgeschichte","Politik und Zeitgeschichte","RS_"
"GdN","Geschichte des Nahraumes","Geschichte des Nahraumes","RS_"
"AnM","Angewandte Mathematik","Angewandte Mathematik","RS_"
"Kt","Kommunikationstechnologie","Kommunikationstechnologie","RS_"
"DÜ","Deutsch (Übungen)","Deutsch (Übungen)","RS_"
"WRÜ","Wirtschaft/Recht (Übungen)","Wirtschaft und Recht (Übungen)","RS_"
"PhÜ","Physik (Übungen)","Physik (Übungen)","RS_"
"ChÜ","Chemie (Übungen)","Chemie (Übungen)","RS_"
"BÜ","Biologie (Übungen)","Biologie (Übungen)","RS_"
"EH","Erste Hilfe","Erste Hilfe","RS_"
"GU","Geoökologie und Umweltschutz","Geoökologie und Umweltschutz","RS_"
"HM","HundertMin Regelung","100-Minuten-Regelung","RS_"
"Tv2","Textverarbeitung2","sonst nichtw. Fach","RS_"
"son1","sonst wiss. Fach","sonst wiss. Fach","RS_"
